name,formatted,place_type,city,district,region,latitude,longitude,popularity,aliases
"DHA Phase 5","DHA Phase 5, Lahore, Pakistan","neighbourhood","Lahore","Lahore","Punjab",31.4670,74.4100,980,"D.H.A Phase 5|Defence Phase V|Phase 5 DHA Lahore|DHA 5"
"DHA Phase 6","DHA Phase 6, Lahore, Pakistan","neighbourhood","Lahore","Lahore","Punjab",31.4826,74.4532,970,"D.H.A Phase 6|Defence Phase VI|Phase 6 DHA Lahore|DHA 6"
"DHA Phase 8","DHA Phase 8, Lahore, Pakistan","neighbourhood","Lahore","Lahore","Punjab",31.4678,74.4840,950,"D.H.A Phase 8|Defence Phase VIII|Phase 8 DHA Lahore|DHA 8"
"Askari 10","Askari 10, Lahore, Pakistan","neighbourhood","Lahore","Lahore","Punjab",31.5345,74.4565,940,"Askari X|Askari Ten|Askari 10 Lahore"
"Askari 11","Askari 11, Lahore, Pakistan","neighbourhood","Lahore","Lahore","Punjab",31.4758,74.4829,900,"Askari XI|Askari Eleven|Askari 11 Lahore"
"Bahria Town Lahore","Bahria Town, Lahore, Pakistan","neighbourhood","Lahore","Lahore","Punjab",31.3709,74.1863,960,"Bahria Lahore|Bahria Town"
"Johar Town","Johar Town, Lahore, Pakistan","neighbourhood","Lahore","Lahore","Punjab",31.4697,74.2728,970,"M.A Johar Town|MA Johar Town|Johar Town Lahore"
"Gulberg III","Gulberg III, Lahore, Pakistan","neighbourhood","Lahore","Lahore","Punjab",31.5102,74.3441,960,"Gulberg 3|Gulberg Three|Main Gulberg"
"Model Town","Model Town, Lahore, Pakistan","neighbourhood","Lahore","Lahore","Punjab",31.4833,74.3239,950,"Model Town Lahore"
"Wapda Town","Wapda Town, Lahore, Pakistan","neighbourhood","Lahore","Lahore","Punjab",31.4354,74.2642,920,"WAPDA Town Lahore"
"Liberty Market","Liberty Market, Gulberg, Lahore, Pakistan","marketplace","Lahore","Lahore","Punjab",31.5094,74.3446,980,"Liberty|Liberty Roundabout|Liberty Lahore"
"Packages Mall","Packages Mall, Lahore, Pakistan","mall","Lahore","Lahore","Punjab",31.4706,74.3532,970,"Packages|Packages Mall Lahore"
"Allama Iqbal International Airport","Allama Iqbal International Airport, Lahore, Pakistan","airport","Lahore","Lahore","Punjab",31.5204,74.4036,1000,"Lahore Airport|Allama Iqbal Airport|LHE Airport"
"Lahore Railway Station","Lahore Railway Station, Lahore, Pakistan","station","Lahore","Lahore","Punjab",31.5773,74.3362,980,"Lahore Station|Railway Station Lahore"
"Daewoo Terminal Thokar","Daewoo Terminal Thokar, Lahore, Pakistan","bus_station","Lahore","Lahore","Punjab",31.4672,74.2386,900,"Daewoo Thokar|Thokar Daewoo|Daewoo Terminal Lahore"
"Shaukat Khanum Hospital","Shaukat Khanum Memorial Cancer Hospital, Lahore, Pakistan","hospital","Lahore","Lahore","Punjab",31.4498,74.2679,980,"SKMCH|Shaukat Khanum|Shaukat Khanum Lahore"
"Doctors Hospital","Doctors Hospital, Lahore, Pakistan","hospital","Lahore","Lahore","Punjab",31.4800,74.3076,920,"Doctor Hospital Lahore|Doctors Hospital Lahore"
"University of the Punjab","University of the Punjab, Lahore, Pakistan","university","Lahore","Lahore","Punjab",31.4947,74.2956,970,"Punjab University|PU Lahore|University of Punjab"
"LUMS","LUMS, Lahore, Pakistan","university","Lahore","Lahore","Punjab",31.4708,74.4111,960,"Lahore University of Management Sciences|LUMS Lahore"
"Emporium Mall","Emporium Mall, Johar Town, Lahore, Pakistan","mall","Lahore","Lahore","Punjab",31.4677,74.2660,960,"Emporium|Emporium Mall Lahore"
